{'hp': 45, 'atk': 49, 'def': 49, 'spa': 65, 'spd': 65, 'spe': 45}
{'hp': 60, 'atk': 62, 'def': 63, 'spa': 80, 'spd': 80, 'spe': 60}
{'hp': 80, 'atk': 82, 'def': 83, 'spa': 100, 'spd': 100, 'spe': 80}
{'hp': 39, 'atk': 52, 'def': 43, 'spa': 60, 'spd': 50, 'spe': 65}
{'hp': 58, 'atk': 64, 'def': 58, 'spa': 80, 'spd': 65, 'spe': 80}
{'hp': 78, 'atk': 84, 'def': 78, 'spa': 109, 'spd': 85, 'spe': 100}
{'hp': 44, 'atk': 48, 'def': 65, 'spa': 50, 'spd': 64, 'spe': 43}
{'hp': 59, 'atk': 63, 'def': 80, 'spa': 65, 'spd': 80, 'spe': 58}
{'hp': 79, 'atk': 83, 'def': 100, 'spa': 85, 'spd': 105, 'spe': 78}
{'hp': 45, 'atk': 30, 'def': 35, 'spa': 20, 'spd': 20, 'spe': 45}
{'hp': 50, 'atk': 20, 'def': 55, 'spa': 25, 'spd': 25, 'spe': 30}
{'hp': 60, 'atk': 45, 'def': 50, 'spa': 90, 'spd': 80, 'spe': 70}
{'hp': 40, 'atk': 35, 'def': 30, 'spa': 20, 'spd': 20, 'spe': 50}
{'hp': 45, 'atk': 25, 'def': 50, 'spa': 25, 'spd': 25, 'spe': 35}
{'hp': 65, 'atk': 90, 'def': 40, 'spa': 45, 'spd': 80, 'spe': 75}
{'hp': 40, 'atk': 45, 'def': 40, 'spa': 35, 'spd': 35, 'spe': 56}
{'hp': 63, 'atk': 60, 'def': 55, 'spa': 50, 'spd': 50, 'spe': 71}
{'hp': 83, 'atk': 80, 'def': 75, 'spa': 70, 'spd': 70, 'spe': 101}
{'hp': 30, 'atk': 56, 'def': 35, 'spa': 25, 'spd': 35, 'spe': 72}
{'hp': 55, 'atk': 81, 'def': 60, 'spa': 50, 'spd': 70, 'spe': 97}
{'hp': 40, 'atk': 60, 'def': 30, 'spa': 31, 'spd': 31, 'spe': 70}
{'hp': 65, 'atk': 90, 'def': 65, 'spa': 61, 'spd': 61, 'spe': 100}
{'hp': 35, 'atk': 60, 'def': 44, 'spa': 40, 'spd': 54, 'spe': 55}
{'hp': 60, 'atk': 95, 'def': 69, 'spa': 65, 'spd': 79, 'spe': 80}
{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}
{'hp': 60, 'atk': 90, 'def': 55, 'spa': 90, 'spd': 80, 'spe': 110}
{'hp': 50, 'atk': 75, 'def': 85, 'spa': 20, 'spd': 30, 'spe': 40}
{'hp': 75, 'atk': 100, 'def': 110, 'spa': 45, 'spd': 55, 'spe': 65}
{'hp': 55, 'atk': 47, 'def': 52, 'spa': 40, 'spd': 40, 'spe': 41}
{'hp': 70, 'atk': 62, 'def': 67, 'spa': 55, 'spd': 55, 'spe': 56}
{'hp': 90, 'atk': 92, 'def': 87, 'spa': 75, 'spd': 85, 'spe': 76}
{'hp': 46, 'atk': 57, 'def': 40, 'spa': 40, 'spd': 40, 'spe': 50}
{'hp': 61, 'atk': 72, 'def': 57, 'spa': 55, 'spd': 55, 'spe': 65}
{'hp': 81, 'atk': 102, 'def': 77, 'spa': 85, 'spd': 75, 'spe': 85}
{'hp': 70, 'atk': 45, 'def': 48, 'spa': 60, 'spd': 65, 'spe': 35}
{'hp': 95, 'atk': 70, 'def': 73, 'spa': 95, 'spd': 90, 'spe': 60}
{'hp': 38, 'atk': 41, 'def': 40, 'spa': 50, 'spd': 65, 'spe': 65}
{'hp': 73, 'atk': 76, 'def': 75, 'spa': 81, 'spd': 100, 'spe': 100}
{'hp': 115, 'atk': 45, 'def': 20, 'spa': 45, 'spd': 25, 'spe': 20}
{'hp': 140, 'atk': 70, 'def': 45, 'spa': 85, 'spd': 50, 'spe': 45}
{'hp': 40, 'atk': 45, 'def': 35, 'spa': 30, 'spd': 40, 'spe': 55}
{'hp': 75, 'atk': 80, 'def': 70, 'spa': 65, 'spd': 75, 'spe': 90}
{'hp': 45, 'atk': 50, 'def': 55, 'spa': 75, 'spd': 65, 'spe': 30}
{'hp': 60, 'atk': 65, 'def': 70, 'spa': 85, 'spd': 75, 'spe': 40}
{'hp': 75, 'atk': 80, 'def': 85, 'spa': 110, 'spd': 90, 'spe': 50}
{'hp': 35, 'atk': 70, 'def': 55, 'spa': 45, 'spd': 55, 'spe': 25}
{'hp': 60, 'atk': 95, 'def': 80, 'spa': 60, 'spd': 80, 'spe': 30}
{'hp': 60, 'atk': 55, 'def': 50, 'spa': 40, 'spd': 55, 'spe': 45}
{'hp': 70, 'atk': 65, 'def': 60, 'spa': 90, 'spd': 75, 'spe': 90}
{'hp': 10, 'atk': 55, 'def': 25, 'spa': 35, 'spd': 45, 'spe': 95}
{'hp': 35, 'atk': 100, 'def': 50, 'spa': 50, 'spd': 70, 'spe': 120}
{'hp': 40, 'atk': 45, 'def': 35, 'spa': 40, 'spd': 40, 'spe': 90}
{'hp': 65, 'atk': 70, 'def': 60, 'spa': 65, 'spd': 65, 'spe': 115}
{'hp': 50, 'atk': 52, 'def': 48, 'spa': 65, 'spd': 50, 'spe': 55}
{'hp': 80, 'atk': 82, 'def': 78, 'spa': 95, 'spd': 80, 'spe': 85}
{'hp': 40, 'atk': 80, 'def': 35, 'spa': 35, 'spd': 45, 'spe': 70}
{'hp': 65, 'atk': 105, 'def': 60, 'spa': 60, 'spd': 70, 'spe': 95}
{'hp': 55, 'atk': 70, 'def': 45, 'spa': 70, 'spd': 50, 'spe': 60}
{'hp': 90, 'atk': 110, 'def': 80, 'spa': 100, 'spd': 80, 'spe': 95}
{'hp': 40, 'atk': 50, 'def': 40, 'spa': 40, 'spd': 40, 'spe': 90}
{'hp': 65, 'atk': 65, 'def': 65, 'spa': 50, 'spd': 50, 'spe': 90}
{'hp': 90, 'atk': 95, 'def': 95, 'spa': 70, 'spd': 90, 'spe': 70}
{'hp': 25, 'atk': 20, 'def': 15, 'spa': 105, 'spd': 55, 'spe': 90}
{'hp': 40, 'atk': 35, 'def': 30, 'spa': 120, 'spd': 70, 'spe': 105}
{'hp': 55, 'atk': 50, 'def': 45, 'spa': 135, 'spd': 95, 'spe': 120}
{'hp': 70, 'atk': 80, 'def': 50, 'spa': 35, 'spd': 35, 'spe': 35}
{'hp': 80, 'atk': 100, 'def': 70, 'spa': 50, 'spd': 60, 'spe': 45}
